node_id1,node_id2,label_id1,label_id2,ibd_sum,ibd_n
node_0,node_1,чеченцы,чеченцы,9.76537,1
node_0,node_13,чеченцы,чеченцы,26.4997,3
node_0,node_15,чеченцы,чеченцы,8.31678,1
node_0,node_594,чеченцы,чеченцы,8.64458,1
node_1,node_8,чеченцы,чеченцы,8.14209,1
node_1,node_9,чеченцы,чеченцы,15.4928,2
node_1,node_10,чеченцы,чеченцы,8.46197,1
node_1,node_12,чеченцы,чеченцы,12.3468,1
node_1,node_138,чеченцы,"кабардинцы,черкесы,адыгейцы",8.01344,1
node_1,node_307,чеченцы,"кабардинцы,черкесы,адыгейцы",9.90889,1
node_1,node_336,чеченцы,чеченцы,8.1665,1
node_1,node_367,чеченцы,ингуши,8.6839,1
node_1,node_384,чеченцы,ингуши,8.15143,1
node_1,node_210,чеченцы,ингуши,13.6507,1
node_1,node_451,чеченцы,чеченцы,8.52731,1
node_2,node_4,чеченцы,чеченцы,26.6323,3
node_2,node_8,чеченцы,чеченцы,16.3492,2
node_2,node_15,чеченцы,чеченцы,18.0717,2
node_2,node_21,чеченцы,"кабардинцы,черкесы,адыгейцы",9.63216,1
node_2,node_262,чеченцы,ингуши,11.6219,1
node_2,node_354,чеченцы,чеченцы,8.6821,1
node_2,node_362,чеченцы,чеченцы,16.801,2
node_2,node_402,чеченцы,чеченцы,15.0698,1
node_2,node_404,чеченцы,чеченцы,17.4398,2
node_2,node_450,чеченцы,чеченцы,9.37433,1
node_2,node_518,чеченцы,ингуши,8.00746,1
node_2,node_544,чеченцы,ингуши,8.00746,1
node_2,node_561,чеченцы,чеченцы,15.0638,2
node_2,node_577,чеченцы,чеченцы,9.48947,1
node_3,node_4,чеченцы,чеченцы,26.4185,3
node_3,node_10,чеченцы,чеченцы,16.6781,2
node_3,node_15,чеченцы,чеченцы,42.2574,5
node_3,node_450,чеченцы,чеченцы,10.6544,1
node_4,node_5,чеченцы,чеченцы,14.5423,2
node_4,node_10,чеченцы,чеченцы,16.1732,1
node_4,node_12,чеченцы,чеченцы,35.9146,4
node_4,node_404,чеченцы,чеченцы,10.1646,1
node_4,node_521,чеченцы,чеченцы,18.9853,2
node_5,node_6,чеченцы,чеченцы,24.0444,3
node_5,node_8,чеченцы,чеченцы,8.40659,1
node_5,node_10,чеченцы,чеченцы,17.0043,2
node_5,node_12,чеченцы,чеченцы,15.7696,2
node_5,node_15,чеченцы,чеченцы,19.6836,2
node_5,node_75,чеченцы,"кабардинцы,черкесы,адыгейцы",12.3281,1
node_5,node_87,чеченцы,"кабардинцы,черкесы,адыгейцы",10.9371,1
node_5,node_318,чеченцы,чеченцы,26.169,3
node_5,node_319,чеченцы,чеченцы,23.8871,2
node_5,node_320,чеченцы,чеченцы,9.65332,1
node_5,node_329,чеченцы,чеченцы,9.85052,1
node_5,node_344,чеченцы,"карачаевцы,балкарцы",8.79996,1
node_5,node_349,чеченцы,чеченцы,8.6252,1
node_5,node_362,чеченцы,чеченцы,8.01755,1
node_5,node_385,чеченцы,ингуши,8.23743,1
node_5,node_396,чеченцы,чеченцы,11.4315,1
node_5,node_427,чеченцы,чеченцы,8.23743,1
node_5,node_550,чеченцы,чеченцы,8.69585,1
node_5,node_580,чеченцы,чеченцы,17.0648,2
node_5,node_602,чеченцы,чеченцы,8.36186,1
node_5,node_610,чеченцы,ингуши,12.0781,1
node_5,node_616,чеченцы,чеченцы,15.1521,2
node_6,node_7,чеченцы,чеченцы,11.5233,1
node_6,node_15,чеченцы,чеченцы,8.3869,1
node_6,node_330,чеченцы,чеченцы,8.64831,1
node_6,node_334,чеченцы,"карачаевцы,балкарцы",10.5712,1
node_6,node_349,чеченцы,чеченцы,21.2623,2
node_6,node_354,чеченцы,чеченцы,9.66085,1
node_6,node_378,чеченцы,чеченцы,11.5082,1
node_6,node_451,чеченцы,чеченцы,9.49746,1
node_6,node_490,чеченцы,чеченцы,8.38226,1
node_6,node_597,чеченцы,ингуши,8.07129,1
node_6,node_619,чеченцы,ингуши,9.46928,1
