node_id1,node_id2,label_id1,label_id2
node_6,node_297,чеченцы,ингуши
node_16,node_256,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_18,node_43,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_18,node_43,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_18,node_43,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_18,node_43,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_18,node_43,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_19,node_42,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_19,node_333,"кабардинцы,черкесы,адыгейцы",ингуши
node_20,node_46,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_20,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_22,node_93,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_23,node_42,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_23,node_42,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_23,node_42,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_24,node_42,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_24,node_43,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_25,node_48,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_26,node_39,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_26,node_39,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_26,node_49,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_27,node_57,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_27,node_90,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_27,node_333,"кабардинцы,черкесы,адыгейцы",ингуши
node_31,node_32,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_31,node_32,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_31,node_32,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_31,node_39,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_31,node_192,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_31,node_194,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_32,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_32,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_32,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_32,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_32,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_32,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_33,node_39,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_33,node_39,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_39,node_139,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_39,node_201,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_41,node_202,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_43,node_261,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_46,node_47,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_54,node_216,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_61,node_221,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_62,node_69,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_63,node_69,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_63,node_69,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_64,node_90,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_68,node_127,"кабардинцы,черкесы,адыгейцы","карачаевцы,балкарцы"
node_68,node_130,"кабардинцы,черкесы,адыгейцы","карачаевцы,балкарцы"
node_68,node_134,"кабардинцы,черкесы,адыгейцы","карачаевцы,балкарцы"
node_68,node_134,"кабардинцы,черкесы,адыгейцы","карачаевцы,балкарцы"
node_72,node_81,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_73,node_292,"кабардинцы,черкесы,адыгейцы","карачаевцы,балкарцы"
node_74,node_84,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_74,node_103,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_77,node_84,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_84,node_258,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_90,node_333,"кабардинцы,черкесы,адыгейцы",ингуши
node_91,node_229,"кабардинцы,черкесы,адыгейцы",ногайцы
node_98,node_99,"кабардинцы,черкесы,адыгейцы","кабардинцы,черкесы,адыгейцы"
node_105,node_108,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_105,node_109,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_105,node_120,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_106,node_107,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_106,node_123,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_106,node_123,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_106,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_106,node_134,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_107,node_121,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_107,node_121,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_107,node_121,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_107,node_121,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_107,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_107,node_134,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_108,node_122,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_109,node_118,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_109,node_122,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_109,node_124,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_109,node_297,"карачаевцы,балкарцы",ингуши
node_110,node_117,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_113,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_113,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_115,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_115,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_117,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_117,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_117,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_120,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_122,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_124,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_124,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_125,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_130,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_132,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_134,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_111,node_222,"карачаевцы,балкарцы","кабардинцы,черкесы,адыгейцы"
node_112,node_119,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_112,node_124,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_112,node_125,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_112,node_135,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_113,node_117,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_113,node_118,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_113,node_120,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_113,node_122,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_113,node_123,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_113,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_117,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_118,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_119,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_120,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_122,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_123,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_124,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_127,"карачаевцы,балкарцы","карачаевцы,балкарцы"
node_114,node_134,"карачаевцы,балкарцы","карачаевцы,балкарцы"
